Department,Hourly Rate 
Seattle Police Department,$79.05
Seattle Police Department,$79.05
Seattle Police Department,$79.05
Seattle Police Department,$79.05
Seattle Police Department,$79.05
Seattle Police Department,$79.05
Seattle Police Department,$79.05
Seattle Police Department,$79.05
Seattle Police Department,$79.05
Seattle Police Department,$79.05
Seattle Police Department,$79.01
Seattle Police Department,$79.01
Information Technology,$79.
Information Technology,$78.81
Information Technology,$78.81
Information Technology,$78.81
Seattle Police Department,$78.75
Information Technology,$78.65
Information Technology,$78.64
Information Technology,$78.54
Information Technology,$78.53
Information Technology,$78.53
Information Technology,$78.53
City Budget Office,$78.52
Information Technology,$78.41
Information Technology,$78.41
Information Technology,$78.41
Information Technology,$78.41
Information Technology,$78.41
Information Technology,$78.41
Information Technology,$78.4
Information Technology,$78.4
Information Technology,$78.32
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Seattle Police Department,$78.3
Information Technology,$78.28
Information Technology,$78.28
Information Technology,$78.28
Information Technology,$78.28
Information Technology,$78.28
Information Technology,$78.28
Information Technology,$78.28
Information Technology,$78.28
Information Technology,$78.28
Law Department,$78.26
Information Technology,$78.24
Information Technology,$78.15
Information Technology,$78.14
Information Technology,$78.13
Information Technology,$78.04
Information Technology,$78.04
Information Technology,$78.
Information Technology,$77.98
Information Technology,$77.98
Information Technology,$77.95
Law Department,$77.9
Information Technology,$77.87
Information Technology,$77.86
Information Technology,$77.84
Information Technology,$77.83
Human Resources,$77.82
Human Resources,$77.82
Seattle Police Department,$77.82
Mayor's Office,$77.82
Information Technology,$77.81
Information Technology,$77.81
Information Technology,$77.81
Information Technology,$77.7
Information Technology,$77.7
Mayor's Office,$77.7
Information Technology,$77.69
Information Technology,$77.68
Information Technology,$77.63
Information Technology,$77.63
Law Department,$77.61
Law Department,$77.61
Law Department,$77.61
Law Department,$77.61
Law Department,$77.61
Information Technology,$77.6
Civil Service Commissions,$77.58
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Seattle Police Department,$77.57
Law Department,$77.52
Information Technology,$77.51
Information Technology,$77.46
Information Technology,$77.39
Information Technology,$77.39
Information Technology,$77.39
Information Technology,$77.39
Information Technology,$77.39
Information Technology,$77.39
Information Technology,$77.39
Information Technology,$77.38
Information Technology,$77.32
Information Technology,$77.32
Information Technology,$77.29
Information Technology,$77.21
Information Technology,$77.21
Information Technology,$77.21
Information Technology,$77.21
